,accuracy,phone,layer,strat,voicing,articulation,model,language,phone_type
16,0.3076923076923077,kʰ,0,4,voiceless_aspirated,other,wav2vec-small,hindi,
17,0.38461538461538464,l,0,4,other,dental,wav2vec-small,hindi,
18,0.5714285714285714,m,0,4,other,other,wav2vec-small,hindi,
19,0.3076923076923077,n,0,4,other,dental,wav2vec-small,hindi,
20,0.5,o,0,4,other,other,wav2vec-small,hindi,
21,0.6923076923076923,p,0,4,voiceless_unaspirated,other,wav2vec-small,hindi,
22,0.46153846153846156,pʰ,0,4,voiceless_aspirated,other,wav2vec-small,hindi,
23,0.16666666666666666,q,0,4,other,other,wav2vec-small,hindi,
24,0.5,r,0,4,other,dental,wav2vec-small,hindi,
25,0.5384615384615384,r̩,0,4,other,dental,wav2vec-small,hindi,
26,0.5714285714285714,s,0,4,other,dental,wav2vec-small,hindi,
27,0.9230769230769231,spn,0,4,other,other,wav2vec-small,hindi,
28,0.23076923076923078,t,0,4,voiceless_unaspirated,dental,wav2vec-small,hindi,
29,0.5,tʰ,0,4,voiceless_aspirated,dental,wav2vec-small,hindi,
30,0.38461538461538464,t͡ʃ,0,4,voiceless_unaspirated,other,wav2vec-small,hindi,
31,0.6428571428571429,t͡ʃʰ,0,4,voiceless_aspirated,other,wav2vec-small,hindi,
32,0.3076923076923077,u,0,4,other,other,wav2vec-small,hindi,
33,0.6153846153846154,uː,0,4,other,other,wav2vec-small,hindi,
34,0.5714285714285714,v,0,4,other,other,wav2vec-small,hindi,
35,0.25,w,0,4,other,other,wav2vec-small,hindi,
36,0.16666666666666666,x,0,4,other,other,wav2vec-small,hindi,
37,0.5,z,0,4,other,dental,wav2vec-small,hindi,
38,0.0,ã,0,4,other,other,wav2vec-small,hindi,
39,0.8461538461538461,ãː,0,4,other,other,wav2vec-small,hindi,
40,0.46153846153846156,æ,0,4,other,other,wav2vec-small,hindi,
41,0.35714285714285715,æː,0,4,other,other,wav2vec-small,hindi,
42,0.6923076923076923,ŋ,0,4,other,other,wav2vec-small,hindi,
43,0.0,ũ,0,4,other,other,wav2vec-small,hindi,
